disease,symptoms,precautions,advice,recommended_doctor
Smallpox,fatigue|fever|headache|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Spinal Muscular Atrophy,a hrefhttpsmedlineplus|tremor|weakness,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Sprains and Strains,muscle spasms|trouble moving the muscle|swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Stress,anxiety|depression|headache|high blood pressure,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Sudden Cardiac Arrest,chest pain|fainting|high blood pressure|nausea|shortness of breath|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Tick Bites,chills|fever|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Transient Ischemic Attack,from a tia|a stroke|confusion|dizziness|high blood pressure|numbness|weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Traumatic Brain Injury,not getting better|if you have new symptoms|anxiety|blurred vision|confusion|depression|dizziness|fatigue|headache|nausea|numbness|seizures,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Whooping Cough,cough|fever|runny nose|sneezing|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Wilms Tumor,a lump in the abdomen|blood in the urine|a fever for no reason|fever,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Breast Diseases,itching|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Cancer Alternative Therapies,nausea,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cervical Cancer,fatigue,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Cervix Disorders,swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Down Syndrome,hearing loss,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Ear Disorders,dizziness,consult a qualified doctor|rest,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Eye Infections,itching|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hearing Disorders and Deafness,hearing loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Marfan Syndrome,weakness,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Meniere's Disease,dizziness|hearing loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Non-Drug Pain Management,back pain|swelling,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Nose Injuries and Disorders,runny nose,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Ovarian Disorders,diarrhea|nausea,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pelvic Floor Disorders,cough,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Retinal Disorders,high blood pressure,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Throat Cancer,ear pain|sore throat,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Usher Syndrome,balance problems|hearing loss,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Vaginal Cancer,constipation,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Vaginal Diseases,itching,consult a qualified doctor|rest,"Book a consultation with a Gynecologist if symptoms persist, worsen, or interfere with daily life.",Gynecologist
Vulvar Cancer,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Anabolic Steroids,depression|fatigue|high blood pressure|loss of appetite,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Balance Problems,balance problems|blurred vision|confusion,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Caffeine,anxiety|dehydration|dizziness|headache|heartburn|high blood pressure|nausea|weight gain,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Carbon Monoxide Poisoning,chest pain|confusion|dizziness|headache|nausea|vomiting|weakness,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Pulmonologist if available.,Pulmonologist
Caregiver Health,anxiety|depression|headache,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Chiropractic,back pain|headache|weight loss,consult a qualified doctor,"Book a consultation with a General Physician if symptoms persist, worsen, or interfere with daily life.",General Physician
Cocaine,cough|depression|fatigue|seizures,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Drugs and Young People,anxiety|depression|high blood pressure,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Enlarged Prostate (BPH),other treatments havent helped|you have another problem|bladder damage|chills|constipation|fever,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Eye Care,blurred vision|eye pain|high blood pressure,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Head Injuries,confusion|headache|nausea|numbness|seizures|vomiting|weakness,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Health Fraud,joint pain|memory loss|weight loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Health Problems in Pregnancy,back pain|fatigue|headache|high blood pressure|nausea,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Heroin,bone pain|a hrefhttpsmedlineplus|diarrhea|itching|nausea|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Inhalants,chest pain|depression|dizziness|loss of appetite|nausea|seizures,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Iron,constipation|diarrhea|fatigue|nausea|shortness of breath|vomiting|weight loss,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Marijuana,anxiety|nausea|weight loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Palliative Care,constipation|fatigue|loss of appetite|nausea|shortness of breath,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Pregnancy and Opioids,diarrhea|fever|seizures|vomiting,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Prenatal Care,high blood pressure|swelling|weight gain,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Quitting Smoking,anxiety|weight gain|wheezing,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Radiation Exposure,dehydration|diarrhea|headache,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Veterans and Military Health,anxiety|depression|hearing loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Vitamin D Deficiency,bone pain|confusion|constipation|nausea|vomiting|weakness|weight loss,consult a qualified doctor|drink fluids|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Acute Flaccid Myelitis,fever|weakness,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Angina,chest pain,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Antibiotic Resistance,sneezing,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Aspergillosis,wheezing,consult a qualified doctor|rest,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
Athlete's Foot,scaly skin between your toes|itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Back Injuries,back pain,consult a qualified doctor,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
Bell's Palsy,weakness,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Bereavement,anxiety,consult a qualified doctor,"Book a consultation with a Psychiatrist if symptoms persist, worsen, or interfere with daily life.",Psychiatrist
Blisters,fever,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Body Weight,weight gain|weight loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Botox,headache|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Bowel Incontinence,constipation|diarrhea,consult a qualified doctor|drink fluids,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Bowel Movement,constipation|diarrhea,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Burns,swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Bursitis,swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Calcium,bloating|constipation,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cardiac Rehabilitation,depression|high blood pressure,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cardiomyopathy,high blood pressure,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cholesterol,chest pain,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Cleft Lip and Palate,hearing loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Colonic Polyps,constipation|diarrhea,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Coping with Chronic Illness,anxiety,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Coping with Disasters,depression,consult a qualified doctor,"Book a consultation with a Psychiatrist if symptoms persist, worsen, or interfere with daily life.",Psychiatrist
DASH Eating Plan,high blood pressure,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Diabetic Eye Problems,eye pain|high blood pressure,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Diabetic Foot,numbness|tingling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Dry Mouth,depression|high blood pressure,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Dystonia,a hrefhttpsmedlineplus|tremor,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Friedreich Ataxia,palpitations|weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Genital Warts,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Guide to Good Posture,back pain,consult a qualified doctor,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
"HDL: The ""Good"" Cholesterol",anxiety,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Head Lice,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hemophilia,swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hernia,weakness,consult a qualified doctor,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Herniated Disk,back pain,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hidradenitis Suppurativa,anxiety|depression,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
How to Lower Cholesterol,weight gain,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Lactose Intolerance,diarrhea|swelling,consult a qualified doctor|drink fluids,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
"LDL: The ""Bad"" Cholesterol",chest pain|weight gain,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Leishmaniasis,fever|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Leukodystrophies,seizures,consult a qualified doctor|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Lymphedema,swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Memory,depression,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Multiple Sclerosis,numbness|weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Muscular Dystrophy,weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Myasthenia Gravis,shortness of breath|weakness,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Neuroblastoma,bone pain|weakness,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Neurofibromatosis,present at birth|hearing loss,consult a qualified doctor|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Osteogenesis Imperfecta,hearing loss,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Osteonecrosis,joint pain,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Ovarian Cysts,bloating|swelling,consult a qualified doctor|rest,"Book a consultation with a Gynecologist if symptoms persist, worsen, or interfere with daily life.",Gynecologist
Overactive Bladder,constipation,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Pheochromocytoma,high blood pressure,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Phobias,anxiety|shortness of breath,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Pink Eye,itching|swelling,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Pinworms,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Pituitary Tumors,nausea|vomiting,consult a qualified doctor|drink fluids,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Progressive Supranuclear Palsy,very different in each person|depression,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Pubic Lice,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Pulmonary Rehabilitation,anxiety|depression,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Restless Legs,tingling,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Rotator Cuff Injuries,swelling,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Rubella,fever|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Scabies,itching|rash,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Scleroderma,fatigue|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Scoliosis,leaning to one side|having uneven shoulders,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Seizures,seizures,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Neurologist if available.,Neurologist
Self-Harm,anxiety|depression,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Skin Conditions,dehydration|itching,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Smoking,wheezing,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Spinal Stenosis,numbness|weakness,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Suicide,anxiety|depression,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Sweat,dehydration|fever,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Syphilis,rash|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Syringomyelia,weakness,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Tendinitis,swelling,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Tooth Decay,fever|swelling,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Traveler's Health,diarrhea,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Tremor,anxiety|tremor,consult a qualified doctor|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Trichomoniasis,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Tuberous Sclerosis,seizures,consult a qualified doctor|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Urinary Incontinence,constipation|sneezing,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Vasculitis,fever|swelling,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Health Risks of an Inactive Lifestyle,anxiety|depression|high blood pressure,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Abscess,,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Adrenal Gland Cancer,,consult a qualified doctor,"Book a consultation with a Nephrologist if symptoms persist, worsen, or interfere with daily life.",Nephrologist
Amino Acid Metabolism Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Aneurysms,,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Ankle Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
Aortic Aneurysm,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Arm Injuries and Disorders,,consult a qualified doctor,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Autism Spectrum Disorder,,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Autonomic Nervous System Disorders,,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Bile Duct Diseases,,consult a qualified doctor|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Bladder Diseases,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Bleeding Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Blood Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Bone Cancer,,consult a qualified doctor,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
Bone Diseases,,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Bone Marrow Diseases,,consult a qualified doctor|rest,"Book a consultation with a Psychiatrist if symptoms persist, worsen, or interfere with daily life.",Psychiatrist
Bronchial Disorders,,consult a qualified doctor,"Book a consultation with a Pulmonologist if symptoms persist, worsen, or interfere with daily life.",Pulmonologist
Carbohydrate Metabolism Disorders,,consult a qualified doctor,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Carotid Artery Disease,,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cartilage Disorders,,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Cerebellar Disorders,,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Charcot-Marie-Tooth Disease,,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Chest Injuries and Disorders,,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Child Behavior Disorders,,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cold Sores,,consult a qualified doctor|rest,"Book a consultation with a General Physician if symptoms persist, worsen, or interfere with daily life.",General Physician
Colonic Diseases,,consult a qualified doctor|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Connective Tissue Disorders,,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
